,word,meaning,example
2717,rhapsody,a highly emotional literary work,
2718,rhapsody,effusively rapturous or extravagant discourse,
2719,rhapsody,"rapture, ecstasy",
2720,rhapsody,a musical composition of irregular form having an improvisatory character,
2721,rhetoric,the art of speaking or writing effectively: such as,
2722,rhetoric,the study of principles and rules of composition formulated by critics of ancient times,
2723,rhetoric,the study of writing or speaking as a means of communication or persuasion,
2724,rhetoric,skill in the effective use of speech,
2725,rhetoric,a type or mode of language or speech,
2726,rhetoric,verbal communication : discourse,
2727,rigor,"harsh inflexibility in opinion, temper, or judgment : severity",
2728,rigor,the quality of being unyielding or inflexible : strictness,
2729,rigor,severity of life : austerity,
2730,rigor,"an act or instance of strictness, severity, or cruelty",
2731,rigor,a tremor caused by a chill,
2732,rigor,"a condition that makes life difficult, challenging, or uncomfortable",
2733,rigor,strict precision : exactness,logical rigor
2734,rigor,"rigidity, stiffness",
2735,rigor,rigidness or torpor of organs or tissue that prevents response to stimuli,
2736,rigor,rigor mortis,
2737,robust,having or exhibiting strength or vigorous health,
2738,robust,"having or showing vigor, strength, or firmness",a robust debate
2739,robust,strongly formed or constructed : sturdy,a robust plastic
2740,robust,capable of performing without failure under a wide range of conditions,robust software
2741,robust,"rough, rude",
2742,robust,requiring strength or vigor,robust work
2743,robust,full-bodied,robust coffee
2744,robust,"relating to, resembling, or being a specialized group of australopithecines characterized especially by heavy molars and small incisors adapted to a vegetarian diet",
2745,rudimentary,consisting in first principles : fundamental,
2746,rudimentary,of a primitive kind,
2747,rudimentary,very imperfectly developed or represented only by a vestige,the rudimentary tail of a hyrax
2748,ruminate,to go over in the mind repeatedly and often casually or slowly,
2749,ruminate,to chew repeatedly for an extended period,
2750,ruminate,to chew again what has been chewed slightly and swallowed : chew the cud,
2751,ruminate,to engage in contemplation : reflect,
2752,sadistic,"of, relating to, or characterized by sadism",sadistic fantasies
2753,sagacious,of keen and farsighted penetration and judgment : discerning,sagacious judge of character
2754,sagacious,caused by or indicating acute discernment,sagacious purchase of stock
2755,sagacious,keen in sense perception,
2756,salubrious,favorable to or promoting health or well-being,salubrious habits
2757,salutary,producing a beneficial effect : remedial,salutary influences
2758,salutary,promoting health : curative,
2759,sanctimonious,hypocritically pious or devout,a sanctimonious moralist
2760,sanctimonious,possessing sanctity : holy,
2761,sanction,a formal decree,
2762,sanction,a solemn agreement : oath,
2763,sanction,something that makes an oath binding,
2764,sanction,"the detriment, loss of reward, or coercive intervention annexed to a violation of a law as a means of enforcing the law",
2765,sanction,"a consideration, principle, or influence (as of conscience) that impels to moral action or determines moral judgment",
2766,sanction,a mechanism of social control for enforcing a society's standards,
2767,sanction,"explicit or official approval, permission, or ratification : approbation",
2768,sanction,an economic or military coercive measure adopted usually by several nations in concert for forcing a nation violating international law to desist or yield to adjudication,
2769,sanction,to make valid or binding usually by a formal procedure (such as ratification),
2770,sanction,to give effective or authoritative approval or consent to,
2771,sanction,"to attach a sanction or penalty to the violation of (a right, obligation, or command)",
2772,sanction,to impose a sanction or penalty upon,
2773,sanguine,marked by eager hopefulness : confidently optimistic,
2774,sanguine,bloodred,
2775,sanguine,consisting of or relating to blood,
2776,sanguine,"bloodthirsty, sanguinary",
2777,sanguine,"accompanied by, involving, or relating to bloodshed : bloody",
2778,sanguine,ruddy,
2779,sanguine,having blood as the predominating bodily humor   see humor entry 1 sense 2c,
2780,sanguine,a moderate to strong red,
2781,satirical,"of, relating to, or constituting satire",satiric writers
2782,satirical,manifesting or given to satire,
2783,scant,excessively frugal,
2784,scant,not prodigal : chary,
2785,scant,barely or scarcely sufficient,
2786,scant,lacking in amplitude or quantity,scant growth
2787,scant,having a small or insufficient supply,
2788,scant,"scarcely, hardly",
2789,scant,to provide an incomplete supply of,
2790,scant,"to make small, narrow, or meager",
2791,scant,to give scant attention to : slight,
2792,scant,to provide with a meager or inadequate portion or supply : stint,
2793,scathing,bitterly severe,a scathing condemnation
2794,schism,"division, separation",
2795,schism,formal division in or separation from a church or religious body,
2796,schism,the offense of promoting schism,
2797,scintillating,"brilliantly lively, stimulating, or witty",a scintillating conversation
2798,scorn,open dislike and disrespect or mockery often mixed with indignation,
2799,scorn,an expression of contempt or derision,
2800,scorn,"an object of extreme disdain, contempt, or derision : something contemptible",
2801,scorn,to treat with scorn : reject or dismiss as contemptible or unworthy,scorned local traditions
2802,scorn,to show disdain or derision : scoff,
2803,scrupulous,having moral integrity : acting in strict regard for what is considered right or proper,
2804,scrupulous,punctiliously exact : painstaking,working with scrupulous care
2805,sedulous,involving or accomplished with careful perseverance,sedulous craftsmanship
2806,sedulous,diligent in application or pursuit,a sedulous student
2807,sensational,of or relating to sensation or the senses,
2808,sensational,"arousing or tending to arouse (as by lurid details) a quick, intense, and usually superficial interest, curiosity, or emotional reaction",sensational tabloid news
2809,sensational,exceedingly or unexpectedly excellent or great,a sensational talent
2810,sentimental,"marked or governed by feeling, sensibility, or emotional idealism",
2811,sentimental,resulting from feeling rather than reason or thought,a sentimental attachment
2812,sentimental,having an excess of sentiment or sensibility,
2813,serendipitous,obtained or characterized by serendipity,serendipitous discoveries
2814,serene,marked by or suggestive of utter calm and unruffled repose or quietude,a serene smile
2815,serene,clear and free of storms or unpleasant change,serene skies
2816,serene,shining bright and steady,"the moon, serene in glory"
2817,serene,august,His Serene Highness
2818,serene,"a serene condition or expanse (as of sky, sea, or light)",
2819,serene,"serenity, tranquility",
2820,sever,to put or keep apart : divide,
2821,sever,to become separated,
2822,sham,a trick that deludes : hoax,feared that the deal was a sham
2823,sham,cheap falseness : hypocrisy,"saw through the hollowness, the sham, the silliness of the empty pageant"
2824,sham,an ornamental covering for a pillow,
2825,sham,an imitation or counterfeit purporting to be genuine,
2826,sham,a person who shams,
2827,sham,"not genuine : false, feigned",
2828,sham,having such poor quality as to seem false,
2829,sham,to go through the external motions necessary to counterfeit,
2830,sham,to act intentionally so as to give a false impression : feign,
2831,shirk,to go stealthily : sneak,
2832,shirk,to evade the performance of an obligation,
2833,shirk,"avoid, evade",shirk one's duty
2834,shrill,scream,
2835,shrill,to utter or emit an acute piercing sound,
2836,shrill,having or emitting a sharp high-pitched tone or sound : piercing,
2837,shrill,accompanied by sharp high-pitched sounds or cries,shrill gaiety
2838,shrill,having a sharp or vivid effect on the senses,shrill light
2839,shrill,"strident, intemperate",shrill anger
2840,shrill,a shrill sound,the shrill of the ship's whistle
2841,sinecure,an office or position that requires little or no work and that usually provides an income,
2842,sinecure,an ecclesiastical benefice without cure of souls,
2843,sinuous,of a serpentine or wavy form : winding,
2844,sinuous,marked by strong lithe movements,
2845,sinuous,"intricate, complex",
2846,skirt,a free-hanging part of an outer garment or undergarment extending from the waist down,
2847,skirt,a separate free-hanging outer garment or undergarment usually worn by women and girls covering some or all of the body from the waist down,
2848,skirt,either of two usually leather flaps on a saddle covering the bars on which the stirrups are hung,
2849,skirt,a cloth facing that hangs from the bottom edge or across the front of a piece of furniture,
2850,skirt,the lower branches of a tree when near the ground,
2851,skirt,"the rim, periphery, or environs of an area",
2852,skirt,outlying parts (as of a town or city),
2853,skirt,"a part or attachment serving as a rim, border, or edging",
2854,skirt,a girl or woman,
2855,skirt,to form or run along the border or edge of : border,
2856,skirt,to provide a skirt for,
2857,skirt,to furnish a border or shield for,
2858,skirt,to go or pass around or about,
2859,skirt,to avoid especially because of difficulty or fear of controversy,skirted the issue
2860,skirt,to evade or miss by a narrow margin,having skirted disaster
2861,skirt,"to be, lie, or move along an edge or border",
2862,skittish,lively or frisky in action : capricious,
2863,skittish,"variable, fluctuating",
2864,skittish,easily frightened : restive,a skittish horse
2865,skittish,"coy, bashful",
2866,skittish,marked by extreme caution : wary,skittish investors
2867,skullduggery,underhanded or unscrupulous behavior,
2868,slander,to utter slander against : defame,
2869,slander,the utterance of false charges or misrepresentations which defame and damage another's reputation,
2870,slander,a false and defamatory oral statement about a person   compare libel,
2871,slight,having a slim or delicate build : not stout or massive in body,
2872,slight,"lacking in strength or substance : flimsy, frail",
2873,slight,"deficient in weight, solidity, or importance : trivial",a slight movie
2874,slight,small of its kind or in amount,a slight chance
2875,slight,to treat as slight or unimportant : make light of,
2876,slight,to treat with disdain or indifference,slight a guest
2877,slight,to perform or attend to carelessly and inadequately,don't slight your work
2878,slight,an act or an instance of slighting,
2879,slight,an instance of being slighted : a humiliating discourtesy,
2880,slovenly,untidy especially in personal appearance,
2881,slovenly,lazily slipshod,slovenly in thought
2882,slovenly,characteristic of a sloven,slovenly habits
2883,sluggish,averse to activity or exertion : indolent,
2884,sluggish,slow to respond (as to stimulation or treatment),
2885,sluggish,"markedly slow in movement, flow, or growth",
2886,sluggish,economically inactive or slow,
2887,soliloquy,the act of talking to oneself,
2888,soliloquy,"a poem, discourse, or utterance of a character in a drama that has the form of a monologue or gives the illusion of being a series of unspoken reflections",
2889,somnolent,of a kind likely to induce sleep,a somnolent sermon
2890,somnolent,inclined to or heavy with sleep : drowsy,
2891,somnolent,sleepy sense 2,somnolent rivers
2892,sophisticated,deprived of native or original simplicity: such as,
2893,sophisticated,highly complicated or developed : complex,sophisticated electronic devices
2894,sophisticated,having a refined knowledge of the ways of the world cultivated especially through wide experience,a sophisticated lady
2895,sophisticated,devoid of grossness: such as,
2896,sophisticated,finely experienced and aware,a sophisticated columnist
2897,sophisticated,intellectually appealing,a sophisticated novel
2898,sophistry,subtly deceptive reasoning or argumentation,
2899,sophistry,sophism sense 1,
2900,soporific,causing or tending to cause sleep,soporific drugs
2901,soporific,tending to dull awareness or alertness,
2902,soporific,"of, relating to, or marked by sleepiness or lethargy",
2903,soporific,a soporific agent,
2904,sordid,marked by baseness or grossness : vile,sordid motives
2905,sordid,"dirty, filthy",
2906,sordid,"wretched, squalid",
2907,sordid,meanly avaricious : covetous,
2908,sordid,of a dull or muddy color,
2909,sound,a particular auditory impression : tone,
2910,sound,the sensation perceived by the sense of hearing,
2911,sound,mechanical radiant energy that is transmitted by longitudinal pressure waves in a material medium (such as air) and is the objective cause of hearing,
2912,sound,a speech sound,a peculiar r-sound
2913,sound,value in terms of speech sounds,-cher of teacher and -ture of creature have the same sound
2914,sound,meaningless noise,
2915,sound,the impression conveyed : import,
2916,sound,meaning,
2917,sound,hearing distance : earshot,within sound of your voice
2918,sound,recorded auditory material,
2919,sound,"a particular musical style characteristic of an individual, a group, or an area",the Nashville sound
2920,sound,"rumor, fame",
2921,sound,to cause to sound,sound a trumpet
2922,sound,pronounce sense 3a,
2923,sound,to put into words : voice,
2924,sound,to make known : proclaim,
2925,sound,"to order, signal, or indicate by a sound",sound the alarm
2926,sound,to examine by causing to emit sounds,sound the lungs
2927,sound,to convey the impression of : sound like,
2928,sound,to make a sound,
2929,sound,resound,
2930,sound,to give a summons by sound,the bugle sounds to battle
2931,sound,to make or convey an impression especially when heard,it sounds good to me
2932,sound,free from injury or disease,of sound mind
2933,sound,"free from flaw, defect, or decay",sound timber
2934,sound,"solid, firm",sound construction
2935,sound,stable,a sound economy
2936,sound,"free from error, fallacy, or misapprehension",sound advice
2937,sound,exhibiting or based on thorough knowledge and experience,sound scholarship
2938,sound,legally valid,a sound title
2939,sound,logically valid and having true premises,a sound estimate
2940,sound,agreeing with accepted views : orthodox,sound doctrine
2941,sound,thorough,a sound recovery
2942,sound,deep and undisturbed,a sound sleep
2943,sound,"hard, severe",a sound whipping
2944,sound,showing good judgment or sense,a sound advisor
2945,sound,to the full extent : thoroughly,sound asleep
2946,sound,a long broad inlet of the ocean generally parallel to the coast,
2947,sound,a long passage of water connecting two larger bodies (such as a sea with the ocean) or separating a mainland and an island,
2948,sound,the air bladder of a fish,
2949,sound,to measure the depth of : fathom,
2950,sound,to try to find out the views or intentions of : probe,
2951,sound,to explore or examine (a body cavity) with a sound,
2952,sound,to ascertain the depth of water especially with a sounding line,
2953,sound,to look into or investigate the possibility,
2954,sound,to dive down suddenly,
2955,sound,an elongated instrument for exploring or sounding body cavities,
2956,sparse,of few and scattered elements,
2957,spartan,a native or inhabitant of ancient Sparta,
2958,spartan,a person of great courage and self-discipline,
2959,spartan,of or relating to Sparta in ancient Greece,
2960,spartan,marked by strict self-discipline or self-denial,a Spartan athlete
2961,spartan,"marked by simplicity, frugality, or avoidance of luxury and comfort",a Spartan room
2962,spartan,laconic,
2963,spartan,undaunted by pain or danger,
2964,specious,having a false look of truth or genuineness : sophistic,specious reasoning
2965,specious,having deceptive attraction or allure,
2966,specious,showy,
2967,spendthrift,a person who spends improvidently or wastefully,
2968,spendthrift,given to spending money freely or foolishly : wasteful with money,"In advanced economies, austerity rules, with the wealthiest nations promising to mend their spendthrift ways."
2969,sporadic,"occurring occasionally, singly, or in irregular or random instances",sporadic protests
2970,spurious,born to parents not married to each other,
2971,spurious,outwardly similar or corresponding to something without having its genuine qualities : false,the spurious eminence of the pop celebrity
2972,spurious,of falsified or erroneously attributed origin : forged,
2973,spurious,of a deceitful nature or quality,spurious excuses
2974,spurn,to reject with disdain or contempt : scorn,
2975,spurn,to tread sharply or heavily upon : trample,
2976,spurn,to reject something disdainfully,
2977,spurn,stumble,
2978,spurn,kick sense 1a,
2979,spurn,disdainful rejection,
2980,spurn,contemptuous treatment,
2981,spurn,kick sense 1a,
2982,spurn,stumble,
2983,squander,"to spend extravagantly or foolishly : dissipate, waste",squandered a fortune
2984,squander,to cause to disperse : scatter,
2985,squander,"to lose (something, such as an advantage or opportunity) through negligence or inaction",
2986,squander,"disperse, scatter",
2987,squander,an act of squandering,
2988,stalwart,"marked by outstanding strength and vigor of body, mind, or spirit",stalwart common sense
2989,stalwart,a stalwart person,
2990,stalwart,an unwavering partisan,
2991,stanch,to check or stop the flowing of,stanched her tears
2992,stanch,to stop or check in its course,trying to stanch the crime wave
2993,stanch,to make watertight : stop up,
2994,stanch,"allay, extinguish",
2995,stanch,steadfast in loyalty or principle,a staunch friend
2996,stanch,"watertight, sound",
2997,stanch,strongly built : substantial,
2998,steadfast,firmly fixed in place : immovable,
2999,steadfast,not subject to change,
3000,steadfast,"firm in belief, determination, or adherence : loyal",her followers have remained steadfast
3001,stern,having a definite hardness or severity of nature or manner : austere,
3002,stern,expressive of severe displeasure : harsh,
3003,stern,forbidding or gloomy in appearance,
3004,stern,inexorable,stern necessity
3005,stern,"sturdy, stout",a stern resolve
3006,stern,the rear end of a boat,
3007,stern,a hinder or rear part : the last or latter part,
3008,stigmatize,to describe or identify in opprobrious terms,
3009,stigmatize,brand,
3010,stigmatize,to mark with stigmata,
3011,stinting,a period of time spent at a particular activity,served a brief stint as a waiter
3012,stinting,a definite quantity of work assigned,
3013,stinting,"restraint, limitation",
3014,stinting,to be sparing or frugal,not stinting with their praise
3015,stinting,"stop, desist",
3016,stinting,to restrict with respect to a share or allowance,stinted herself of luxuries
3017,stinting,to limit within certain boundaries,
3018,stinting,to put an end to : stop,
3019,stinting,any of several small sandpipers (genus Calidris),
3020,stoic,"a member of a school of philosophy founded by Zeno of Citium about 300 b.c. holding that the wise man should be free from passion, unmoved by joy or grief, and submissive to natural law",
3021,stoic,one apparently or professedly indifferent to pleasure or pain,
3022,stoic,"of, relating to, or resembling the Stoics or their doctrines",Stoic logic
3023,stoic,not affected by or showing passion or feeling,
3024,stolid,having or expressing little or no sensibility : unemotional,
3025,strife,bitter sometimes violent conflict or dissension,political strife
3026,strife,"an act of contention : fight, struggle",
3027,strife,exertion or contention for superiority,
3028,strife,earnest endeavor,
3029,stringent,"tight, constricted",
3030,stringent,"marked by rigor, strictness, or severity especially with regard to rule or standard",stringent decontamination procedures
3031,stringent,marked by money scarcity and credit strictness,a stringent budget
3032,subjective,"of, relating to, or constituting a subject: such as",
3033,subjective,"of, relating to, or characteristic of one that is a subject especially in lack of freedom of action or in submissiveness",
3034,subjective,being or relating to a grammatical subject,
3035,subjective,"of or relating to the essential being of that which has substance, qualities, attributes, or relations",
3036,subjective,characteristic of or belonging to reality as perceived rather than as independent of mind : phenomenal  — compare objective sense 2a,
3037,subjective,relating to or being experience or knowledge as conditioned by personal mental characteristics or states,
3038,subjective,peculiar to a particular individual : personal,subjective judgments
3039,subjective,"modified or affected by personal views, experience, or background",a subjective account of the incident
3040,subjective,arising from conditions within the brain or sense organs and not directly caused by external stimuli,subjective sensations
3041,subjective,arising out of or identified by means of one's perception of one's own states and processes,a subjective symptom of disease
3042,subjective,lacking in reality or substance : illusory,
3043,subjective,something that is subjective,
3044,subordinate,"placed in or occupying a lower class, rank, or position : inferior",a subordinate officer
3045,subordinate,submissive to or controlled by authority,
3046,subordinate,"of, relating to, or constituting a clause that functions as a noun, adjective, or adverb",
3047,subordinate,subordinating,
3048,subordinate,one who stands in order or rank below another : one that is subordinate,
3049,subordinate,to make subject or subservient,
3050,subordinate,to treat as of less value or importance,
3051,subservient,useful in an inferior capacity : subordinate,
3052,subservient,serving to promote some end,
3053,subservient,obsequiously submissive : truckling,
3054,subside,to sink or fall to the bottom : settle,
3055,subside,to tend downward : descend,
3056,subside,to let oneself settle down : sink,subsided into a chair
3057,subside,to become quiet or less,as the fever subsides
3058,substantiate,to give substance or form to : embody,
3059,substantiate,to establish by proof or competent evidence : verify,substantiate a charge
3060,subsume,to include or place within something larger or more comprehensive : encompass as a subordinate or component element,"red, green, and yellow are subsumed under the term ""color"""
3061,subtle,"delicate, elusive",a subtle fragrance
3062,subtle,difficult to understand or perceive : obscure sense 1c,a subtle truth
3063,subtle,clever and indirect : disguised in purpose,
3064,subtle,having or involving keen perception or insight,a subtle scholar
3065,subtle,highly skillful : expert,a subtle craftsman
3066,subtle,cunningly made or contrived : ingenious,
3067,subtle,"artful, crafty",
3068,subtle,operating insidiously,subtle poisons
3069,subvert,to overturn or overthrow from the foundation : ruin,
3070,subvert,"to pervert or corrupt by an undermining of morals, allegiance, or faith",
3071,superficial,"of, relating to, or located near a surface",
3072,superficial,"lying on, not penetrating below, or affecting only the surface",superficial wounds
3073,superficial,square,superficial foot
3074,superficial,concerned only with the obvious or apparent : shallow,
3075,superficial,seen on the surface : external,
3076,superficial,presenting only an appearance without substance or significance,
3077,superfluous,exceeding what is sufficient or necessary : extra,
3078,superfluous,not needed : unnecessary,
3079,superfluous,marked by wastefulness : extravagant,
3080,supersede,to cause to be set aside,
3081,supersede,to force out of use as inferior,
3082,supersede,to take the place or position of,
3083,supersede,to displace in favor of another,
3084,supplant,to supersede (another) especially by force or treachery,
3085,supplant,uproot,
3086,supplant,to eradicate and supply a substitute for,efforts to supplant the vernacular
3087,supplant,to take the place of and serve as a substitute for especially by reason of superior excellence or power,
3088,supple,compliant often to the point of obsequiousness,
3089,supple,readily adaptable or responsive to new situations,
3090,supple,"capable of being bent or folded without creases, cracks, or breaks : pliant",supple leather
3091,supple,able to perform bending or twisting movements with ease : limber,supple legs of a dancer
3092,supple,easy and fluent without stiffness or awkwardness,"sang with a lively, supple voice"
3093,supple,to make pacific or complaisant,supple the tempers of your race
3094,supple,to alleviate with a salve,
3095,supple,to make flexible or pliant,
3096,supple,to become soft and pliant,
3097,supplicate,to make a humble entreaty,
3098,supplicate,to ask humbly and earnestly of,
3099,supplicate,to ask for earnestly and humbly,
3100,surfeit,an overabundant supply : excess,
3101,surfeit,an intemperate or immoderate indulgence in something (such as food or drink),
3102,surfeit,disgust caused by excess,
3103,surfeit,"to feed, supply, or give to surfeit",
3104,surfeit,to indulge to satiety in a gratification (such as indulgence of the appetite or senses),
3105,surmount,to prevail over : overcome,surmount an obstacle
3106,surmount,to get to the top of : climb,
3107,surmount,to stand or lie at the top of,
3108,surmount,to surpass in quality or attainment : excel,
3109,surreptitious,"done, made, or acquired by stealth : clandestine",
3110,surreptitious,acting or doing something clandestinely : stealthy,a surreptitious glance
3111,suspect,regarded or deserving to be regarded with suspicion : suspected,investigates suspect employees
3112,suspect,"doubtful, questionable",whose skills are suspect
3113,suspect,one that is suspected,
3114,suspect,to imagine (one) to be guilty or culpable on slight evidence or without proof,suspect him of giving false information
3115,suspect,to have doubts of : distrust,suspects her motives
3116,suspect,"to imagine to exist or be true, likely, or probable",I suspect he's right
3117,suspect,to imagine something to be true or likely,
3118,swindle,to obtain money or property by fraud or deceit,
3119,swindle,to take money or property from by fraud or deceit,
3120,swindle,an act or instance of swindling : fraud,
3121,synoptic,affording a general view of a whole,
3122,synoptic,manifesting or characterized by comprehensiveness or breadth of view,
3123,synoptic,presenting or taking the same or common view,
3124,synoptic,relating to or displaying conditions (as of the atmosphere or weather) as they exist simultaneously over a broad area,
3125,tacit,expressed or carried on without words or speech,the blush was a tacit answer
3126,tacit,implied or indicated (as by an act or by silence) but not actually expressed,tacit consent
3127,taciturn,temperamentally disinclined to talk,
3128,tact,a keen sense of what to do or say in order to maintain good relations with others or avoid offense,
3129,tact,sensitive mental or aesthetic perception,converted the novel into a play with remarkable skill and tact
3130,tangential,"touching lightly : incidental, peripheral",tangential involvement
3131,tangential,"divergent, digressive",
3132,tangential,"of, relating to, or of the nature of a tangent",
3133,tangential,acting along or lying in a tangent,tangential forces
3134,tangible,capable of being perceived especially by the sense of touch : palpable,
3135,tangible,substantially real : material,
3136,tangible,capable of being precisely identified or realized by the mind,her grief was tangible
3137,tangible,capable of being appraised at an actual or approximate value,tangible assets
3138,tangible,something that is tangible (see tangible entry 1),
3139,tantalizing,possessing a quality that arouses or stimulates desire or interest,
3140,tantamount,"equivalent in value, significance, or effect",a relationship tantamount to marriage
3141,tarnish,"to dull or destroy the luster of by or as if by air, dust, or dirt : soil, stain",
3142,tarnish,to detract from the good quality of : vitiate,his fine dreams now slightly tarnished
3143,tarnish,to bring disgrace on : sully,the scandal has tarnished his reputation
3144,tarnish,to become tarnished,
3145,tarnish,something that tarnishes,
3146,tedious,tiresome because of length or dullness : boring,a tedious public ceremony
3147,temerity,"unreasonable or foolhardy contempt of danger or opposition : rashness, recklessness",
3148,temerity,a rash or reckless act,
3149,temper,heat of mind or emotion : proneness to anger : passion,she has a real temper
3150,temper,calmness of mind : composure,
3151,temper,state of feeling or frame of mind at a particular time usually dominated by a single strong emotion,
3152,temper,a characteristic cast of mind or state of feeling : disposition,
3153,temper,characteristic tone : trend,the temper of the times
3154,temper,high quality of mind or spirit : courage,
3155,temper,"a suitable proportion or balance of qualities : a middle state between extremes : mean, medium",
3156,temper,"character, quality",
3157,temper,"the state of a substance with respect to certain desired qualities (such as hardness, elasticity, or workability)",
3158,temper,the feel and relative solidity of leather,
3159,temper,a substance (such as a metal) added to or mixed with something else (such as another metal) to modify the properties of the latter,
3160,temper,"to dilute, qualify, or soften by the addition or influence of something else : moderate",temper justice with mercy
3161,temper,to anneal or toughen (glass) by a process of gradually heating and cooling,
3162,temper,"to harden (a material, such as steel) by reheating and cooling in oil",
3163,temper,"to soften (a material, such as hardened steel or cast iron) by reheating at a lower temperature",
3164,temper,to make stronger and more resilient through hardship : toughen,troops tempered in battle
3165,temper,to bring to a suitable state by mixing in or adding a usually liquid ingredient: such as,
3166,temper,to mix (clay) with water or a modifier (such as grog) and knead to a uniform texture,
3167,temper,to mix oil with (colors) in making paint ready for use,
3168,temper,to put in tune with something : attune,
3169,temper,"to adjust the pitch of (a note, chord, or instrument) to a temperament",
3170,temper,"to exercise control over : govern, restrain",
3171,temper,to cause to be well disposed : mollify,
3172,tempestuous,"of, relating to, or resembling a tempest : turbulent, stormy",tempestuous weather
3173,temporal,of or relating to time as opposed to eternity,
3174,temporal,of or relating to earthly life,
3175,temporal,lay or secular rather than clerical or sacred : civil,lords temporal
3176,temporal,of or relating to grammatical tense or a distinction of time,
3177,temporal,of or relating to time as distinguished from space,
3178,temporal,of or relating to the sequence of time or to a particular time : chronological,
3179,temporal,a bodily part (such as a bone or muscle) that is near the temples or the sides of the skull behind the orbits : a temporal part,
3180,temporal,of or relating to the temples or the sides of the skull behind the orbits,
3181,tenable,"capable of being held, maintained, or defended : defensible, reasonable",
3182,tendentious,marked by a tendency in favor of a particular point of view : biased,
3183,tentative,not fully worked out or developed,tentative plans
3184,tentative,"hesitant, uncertain",a tentative smile
3185,tentative,something that is uncertain or subject to change : something that is tentative,
3186,tenuous,"having little substance or strength : flimsy, weak",tenuous influences
3187,tenuous,shaky sense 2a,tenuous reasons
3188,tenuous,not thick : slender,a tenuous rope
3189,tenuous,not dense : rare,a tenuous fluid
3190,tepid,moderately warm : lukewarm,a tepid bath
3191,tepid,"lacking in passion, force, or zest",tepid poetry
3192,tepid,marked by an absence of enthusiasm or conviction,a tepid interest
3193,terse,using few words : devoid of superfluity,a terse summary
3194,terse,smoothly elegant : polished,
3195,thorough,carried through to completion : exhaustive,a thorough search
3196,thorough,marked by full detail,a thorough description
3197,thorough,careful about detail : painstaking,a thorough scholar
3198,thorough,complete in all respects,thorough pleasure
3199,thorough,having full mastery (as of an art),a thorough musician
3200,thorough,through,
3201,thorough,through,
3202,timorous,of a timid disposition : fearful,
3203,timorous,expressing or suggesting timidity,
3204,tirade,"a protracted speech usually marked by intemperate, vituperative, or harshly censorious language",
3205,torpor,a state of mental and motor inactivity with partial or total insensibility,
3206,torpor,"a state of lowered physiological activity typically characterized by reduced metabolism, heart rate, respiration, and body temperature that occurs in varying degrees especially in hibernating and estivating animals",
3207,torpor,"apathy, dullness",
3208,tortuous,"marked by repeated twists, bends, or turns : winding",a tortuous path
3209,tortuous,"marked by devious or indirect tactics : crooked, tricky",a tortuous conspiracy
3210,tortuous,"circuitous, involved",the tortuous jargon of legal forms
3211,tout,"to make much of : promote, talk up",touted as the summer's blockbuster movie
3212,tout,"to solicit, peddle, or persuade importunately",not meant to tout you off the movie
3213,tout,to spy on : watch,
3214,tout,"to spy out information about (a racing stable, a horse, etc.)",
3215,tout,to give a tip or solicit bets on (a racehorse),
3216,tout,to solicit patronage,
3217,tout,to spy on racehorses in training to gain information for betting,
3218,tout,to give a tip or solicit bets on a racehorse,
3219,tout,one who touts: such as,
3220,tout,one who solicits patronage,
3221,tout,one who spies out racing information for betting purposes,
3222,tout,one who gives tips or solicits bets on a racehorse,
3223,tractable,"capable of being easily led, taught, or controlled : docile",a tractable horse
3224,tractable,"easily handled, managed, or wrought : malleable",
3225,tranquil,free from agitation of mind or spirit,a tranquil self-assurance
3226,tranquil,free from disturbance or turmoil,a tranquil scene
3227,tranquil,"unvarying in aspect : steady, stable",
3228,transcend,to rise above or go beyond the limits of,
3229,transcend,to triumph over the negative or restrictive aspects of : overcome,
3230,transcend,"to be prior to, beyond, and above (the universe or material existence)",
3231,transcend,"to outstrip or outdo in some attribute, quality, or power",
3232,transcend,to rise above or extend notably beyond ordinary limits,
3233,transgression,"an act, process, or instance of transgressing: such as",
3234,transgression,"infringement or violation of a law, command, or duty",
3235,transgression,the spread of the sea over land areas and the consequent unconformable deposit of sediments on older rocks,
3236,transient,passing especially quickly into and out of existence : transitory,transient beauty
3237,transient,passing through or by a place with only a brief stay or sojourn,transient visitors
3238,transient,affecting something or producing results beyond itself,
3239,transient,one that is transient (see transient entry 1): such as,
3240,transient,a guest or boarder who stays only briefly,
3241,transient,a person traveling about usually in search of work,
3242,transient,a temporary oscillation that occurs in a circuit because of a sudden change of voltage or of load,
3243,transient,a transient current or voltage,
3244,transitory,of brief duration : temporary,the transitory nature of earthly joy
3245,transitory,tending to pass away : not persistent,
3246,treatise,a systematic exposition or argument in writing including a methodical discussion of the facts and principles involved and conclusions reached,a treatise on higher education
3247,treatise,"account, tale",
3248,trenchant,"keen, sharp",
3249,trenchant,vigorously effective and articulate,a trenchant analysis
3250,trenchant,sharply perceptive : penetrating,a trenchant view of current conditions
3251,trenchant,"clear-cut, distinct",the trenchant divisions between right and wrong
3252,trifling,lacking in significance or solid worth: such as,
3253,trifling,frivolous,trifling talk
3254,trifling,trivial,a trifling gift
3255,trifling,"lazy, shiftless",a trifling fellow
3256,trivial,of little worth or importance,a trivial objection
3257,trivial,relating to or being the mathematically simplest case,
